id,artist,artist_ja,song,song_ja,url1,url1_channel,url2,url2_channel,benefit_points,created_at
64650438-9439-4019-b19d-d90fd8d82ee9,"신승태 , 윤미라","シンスンテ , ユンミラ",사랑의 이름표,愛の名札,https://www.youtube.com/watch?v=S7C2uCJfFQY,트롯가왕,https://www.youtube.com/watch?v=bhsI8lmJeZY,MBN Music,0,2025-11-23 14:26:47.354301+00
67a8b925-777c-4cdf-a03f-c0ce26a5abfd,타쿠야,タクヤ,LOVE SONG,LOVE SONG,https://www.youtube.com/watch?v=p5txfjAolUM,트롯가왕,,,0,2025-11-23 14:26:47.354301+00
6bac0378-381e-4545-9754-8a0e85c775f4,"박서진 , 민수현","パクソジン , ミンスヒョン",쓰리랑,スリラン,https://www.youtube.com/watch?v=AnFqEs3j1pc,트롯가왕,https://www.youtube.com/watch?v=t-OhrVr8GHs,MBN Music,50000,2025-11-23 14:26:47.354301+00
6f4a3454-4093-40ed-9250-e5ef1019df2d,"마사야 , 황민호","マサヤ , ファンミノ",아 옛날이여,あ、昔よ,https://www.youtube.com/watch?v=S9CBqIphkag,트롯가왕,https://www.youtube.com/watch?v=vA9NbvAYmQE,MBN Music,50000,2025-11-23 14:26:47.354301+00
75c710a9-d96d-49b4-a15b-fa8c424498d4,진해성,ジンへソン,목마른 사슴,のどの渇いたシカ,https://www.youtube.com/watch?v=E5iWkDkjnfs,트롯가왕,https://www.youtube.com/watch?v=H23i3IyBoFo,MBN Music,50000,2025-11-23 14:26:47.354301+00
775e8d97-866c-476a-bd0d-1b2678d4be35,강문경,カンムンギョン,행운,幸運,https://www.youtube.com/watch?v=88apQbvbgcY,트롯가왕,https://www.youtube.com/watch?v=uKt90X9LNGU,MBN Music,0,2025-11-23 14:26:47.354301+00
7cc54c34-fba5-47b4-b3e2-e57982479b96,"마사야 , 에녹","マサヤ , エノク",루비반지,ルビーの指環,https://www.youtube.com/watch?v=1shZfYzly88,트롯가왕,https://www.youtube.com/watch?v=ZSSfZKxSy2s,MBN Music,0,2025-11-23 14:26:47.354301+00
7ecf4f60-30e3-49b9-9fc0-4952c22b681c,마사야,マサヤ,TOMORROW,TOMORROW,https://www.youtube.com/watch?v=vx4WxsBCcmY,트롯가왕,https://www.youtube.com/watch?v=QVpxx-gFiBs,MBN Music,0,2025-11-23 14:26:47.354301+00
80aa3e80-988d-4917-b0d1-89c6f71a100f,신승태,シンスンテ,사랑의 밧줄,愛のつな,https://www.youtube.com/watch?v=zUxAaXOh2SM,트롯가왕,https://www.youtube.com/watch?v=ESaZfuzKeG8,MBN Music,0,2025-11-23 14:26:47.354301+00
82345bb7-6c8c-4369-9edb-9fccabf891b9,타쿠야,タクヤ,Blue Bird,ブルーバード,https://www.youtube.com/watch?v=GSmqIny-DMU,트롯가왕,https://www.youtube.com/watch?v=jwzTxlatOXk,MBN Music,50000,2025-11-23 14:26:47.354301+00
82b7dcca-6af6-40a6-aa26-aedf675622ae,신승태,シンスンテ,십분 내로,十分内に,https://www.youtube.com/watch?v=D6NvejsYVko,트롯가왕,https://www.youtube.com/watch?v=sjQnhR62UEc,MBN Music,0,2025-11-23 14:26:47.354301+00
83a9e754-5fd3-4f82-85bd-a426f5a8a7b7,"신승태 , 에녹 , 진해성","シンスンテ , エノク , ジンへソン",다시 한번만,もう一度だけ,https://www.youtube.com/watch?v=_kpbMbwBmDY,트롯가왕,https://www.youtube.com/watch?v=Ce9lJtnBQBA,MBN Music,0,2025-11-23 14:26:47.354301+00
